"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"163","Danny Droll","Neb.-Kearney","Jr.","INF","27","102","41","5","6","0","5","0.460"
"164","Ryan Haggstrom","Minn.-Crookston","So.","C","12","45","19","2","2","1","0","0.460"
"","Chas McCormick","Millersville","Fr.","OF","23","83","29","16","1","0","1","0.460"
"166","Gable Whitacre","St. Edward's","Fr.","C","24","76","29","10","1","0","4","0.460"
"167","John Bellock","LIU Post","So.","OF","9","25","5","5","7","0","1","0.459"
"","Cole Bjorge","Bemidji St.","Sr.","OF","10","31","12","4","1","1","1","0.459"
"","Alex Fink","Augustana (SD)","So.","INF","18","66","27","6","1","1","1","0.459"
"170","Brandon Jossey","Seton Hill","Sr.","OF","18","47","14","4","10","0","1","0.459"
"171","Matthew Haskins","Montevallo","Jr.","OF","30","116","39","19","9","2","1","0.459"
"172","Alex Kirby","Newberry","Jr.","OF","25","79","33","4","2","0","4","0.459"
"173","Wigberto Nevarez","Lubbock Christian","---","C","27","96","39","9","2","2","0","0.459"
"","Mario Urdaneta","Nova Southeastern","Jr.","OF","28","93","34","15","1","0","1","0.459"
"175","Cody Aasen","Minn. Duluth","Sr.","OF","12","41","17","4","1","2","0","0.458"
"","Will Kengor","Slippery Rock","Sr.","INF","20","86","34","9","1","0","1","0.458"
"177","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","96","38","7","4","0","1","0.458"
"178","Jonathan Lowe","Lincoln Memorial","Jr.","OF","24","64","21","8","9","2","2","0.458"
"179","Andrew Kreiling","Pittsburg St.","Jr.","OF","19","47","15","9","3","0","3","0.458"
"180","Michael Danner","Tampa","Sr.","OF","26","85","29","17","2","1","0","0.457"
"","Justin Manning","Mount Olive","Jr.","3B","27","85","31","16","1","3","2","0.457"
"","Brendan O'Reilly","New Haven","Jr.","OF","7","30","11","5","0","0","1","0.457"
"","Cody Smith","West Virginia St.","Sr.","INF","20","56","20","6","6","2","1","0.457"
"184","Vinny Rodriguez","Montevallo","Jr.","OF","23","102","39","11","3","0","0","0.457"
"","Derrick Walls","Tex. A&M-Kingsville","Sr.","INF","27","95","32","19","2","0","2","0.457"
"186","Steven Garber","Northwest Mo. St.","Jr.","1B","22","65","21","13","3","0","4","0.457"
"","Justin Shealy","Ark.-Fort Smith","Jr.","C","23","59","17","9","11","2","2","0.457"
"188","Erik Poldroo","Concordia (NY)","Jr.","OF","11","37","12","8","1","0","0","0.457"
"189","Anthony Pacheco","Neb.-Kearney","So.","OF","27","102","43","8","1","3","1","0.456"
"","Jake Sandlin","Georgia College","Jr.","INF","25","94","34","17","1","2","1","0.456"
"191","Tyler Crabtree","Central Okla.","Sr.","OF","24","70","21","5","15","0","6","0.456"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","84","36","4","1","1","0","0.456"
"","Michael Lowe","Southern Nazarene","So.","INF","23","67","19","19","3","1","2","0.456"
"194","Ruben Padilla","Cal St. Chico","Sr.","3B","25","83","29","7","10","1","3","0.455"
"195","Spencer Thomas","Young Harris","Jr.","C","30","91","30","17","4","0","0","0.455"
"196","Dalton Knight","UNC Pembroke","Jr.","INF","26","101","36","17","3","2","0","0.455"
"197","Graham Ramos","Lander","Sr.","INF","29","115","45","12","4","3","0","0.455"
"198","Blair Moore","California Baptist","Sr.","INF","28","105","36","17","7","3","0","0.455"
"","Tyler Raymond","King (TN)","Jr.","OF","30","87","33","11","1","0","0","0.455"
"","Cody Robinson","Northeastern St.","Sr.","OF","22","76","30","7","3","2","0","0.455"
"","Cutter Runte","St. Edward's","Jr.","OF","29","81","21","24","5","0","6","0.455"
