"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Mark Heard","Northwood (MI)","Jr.","P","9","51.0","45"
"","Ethan Marsh","Pfeiffer","Sr.","OF","24","65.3","45"
"","Jacob Mays","Concord","Jr.","P","17","70.3","45"
"","Mike Nicks","Southwest Baptist","Sr.","P","11","60.7","45"
"","Anthony O'Brien","Chowan","Sr.","P","11","44.0","45"
"","Cody Pruett","Bluefield St.","Fr.","P","11","61.0","45"
"","Chris Rabe","Bluefield St.","Jr.","P","13","64.7","45"
"","Cody Stull","Belmont Abbey","Fr.","P","13","59.3","45"
"","Nick Umberger","Shippensburg","Jr.","P","14","61.0","45"
"","Elroy Urbina","Incarnate Word","Sr.","P","28","34.0","45"
"","Austin Woodard","Southwestern Okla.","Sr.","P","14","58.0","45"
"","Shane Youngdale","Cal St. Dom. Hills","Sr.","P","12","82.3","45"
"332","Stephen Batman","Fla. Southern","Sr.","P","12","59.0","44"
"","Matt Brown","Colorado Mines","Fr.","P","10","46.0","44"
"","Joe Gunkel","West Chester","Fr.","P","10","49.3","44"
"","Andy Heston","Northern Ky.","Sr.","P","16","44.0","44"
"","Glen Hudson","C.W. Post","Jr.","P","11","49.7","44"
"","Brian Hutchings","Mont. St. Billings","Jr.","P","10","59.3","44"
"","Sadarius Lewis","Elizabeth City St.","Sr.","P","15","64.7","44"
"","Paul Phillips","Ill.-Springfield","Jr.","P","14","77.0","44"
"","Brent Queen","Hawaii Pacific","So.","P","10","65.0","44"
"","Sean Stimpfel","Bloomfield","Sr.","P","10","58.7","44"
"","Kyle Thomas","California (PA)","So.","P","12","56.0","44"
"","Ryan Trimble","Truman","Jr.","P","8","50.0","44"
"","Michael White","Stonehill","Jr.","OF","7","43.3","44"
"345","Josh Barmoy","Chowan","Fr.","P","14","42.0","43"
"","Taylor Bratton","West Ala.","Fr.","P","14","54.0","43"
"","Tyler Carman","Florida Tech","Sr.","P","14","53.7","43"
"","Cory Caruso","Cal St. San B'dino","Jr.","P","12","61.7","43"
"","Kyle Dyer","Drury","Sr.","P","11","79.0","43"
"","Andy Fennell","Lincoln Memorial","Jr.","P","13","76.0","43"
"","Michael Greene","Hawaii Pacific","Sr.","P","11","72.0","43"
"","Stephen Groves","Valdosta St.","Jr.","P","24","43.3","43"
"","Mike Howard","Rollins","Jr.","P","13","61.0","43"
"","Ryan Jones","Lenoir-Rhyne","Fr.","P","19","57.3","43"
"","Roy Metter","Neb.-Kearney","Sr.","P","12","57.3","43"
"","Kevin Peters","West Fla.","Fr.","P","13","49.0","43"
"","Brooks Rothschild","Millersville","Jr.","P","11","67.3","43"
"","Alex Sikes","Christian Bros.","So.","P","11","50.3","43"
"","Jeremy Smith","S.C. Aiken","Sr.","P","22","51.3","43"
"","Alex Smith","New Haven","Sr.","P","8","49.3","43"
"","Jeffrey Stoner","Francis Marion","Fr.","P","12","63.0","43"
"","Phil Trowbridge","St. Joseph's (IN)","Jr.","P","10","44.3","43"
"","Dj Turpin","St. Andrews","Sr.","P","16","49.0","43"
"","Ryan Windt","Wis.-Parkside","Jr.","P","11","55.7","43"
"365","Aaron Appino","Cal St. Monterey Bay","Jr.","P","11","56.0","42"
"","Herman Boddy","LeMoyne-Owen","Fr.","-","10","65.0","42"
"","Aaron Brandt","Saint Leo","Jr.","P","13","73.0","42"
"","Paul Brock","Cal St. Monterey Bay","Jr.","P","16","68.7","42"
"","Andrew Buckham","Tex. Permian Basin","Sr.","P","15","53.0","42"
"","Irving Camacho","West Tex. A&M","Jr.","P","17","63.3","42"
"","Stephen Cooke","Indiana (PA)","So.","P","21","39.7","42"
"","Steven Corbett","Post","Jr.","P","10","62.0","42"
"","Tj Estes","Anderson (SC)","So.","P","11","77.0","42"
"","Greg Fowler","N.M. Highlands","Jr.","P","6","31.3","42"
"","Jason Gardner","Tusculum","Sr.","P","13","59.7","42"
"","Brandyn Greer","Tarleton St.","Sr.","P","20","37.0","42"
"","Brett Hammaker","Barry","Sr.","P","14","76.3","42"
"","George Hebert","Slippery Rock","Sr.","P","10","55.0","42"
"","Kekoa Lee","Hawaii Hilo","Sr.","P","7","42.3","42"
"","Fabian Lopez","Upper Iowa","So.","P","7","47.7","42"
"","Don Mack","Miles","Jr.","P","8","49.7","42"
"","Alex McCormick","Stonehill","So.","P","9","55.0","42"
"","Dan Morgan","Chestnut Hill","Jr.","P","10","52.3","42"
"","Jonathan Paez","West Tex. A&M","Sr.","P","13","56.7","42"
"","Anthony Pagano","Charleston (WV)","Sr.","SS","11","51.3","42"
"","D. Robertson","Shaw","Fr.","-","16","76.3","42"
"","Erick Ruvalcaba","Cal Poly Pomona","So.","P","11","65.0","42"
"","Ryan Salt","Tarleton St.","Sr.","P","19","54.3","42"
"","Iain Sebastian","Columbus St.","Sr.","P","10","45.7","42"
"","Casey Smith","Brevard","Jr.","P","10","63.3","42"
"","Darrin Tew","Lander","Sr.","P","16","40.7","42"
"","Brandon Van Riper","Tarleton St.","Sr.","P","15","52.7","42"
"","Darryl White","Claflin","So.","P","10","50.7","42"
"","Luke Wilhelm","Pfeiffer","Sr.","INF","24","36.3","42"
"395","David Arredondo","Cal St. L.A.","Jr.","P","13","73.3","41"
"","Spencer Butler","Valdosta St.","Jr.","P","14","35.7","41"
"","Joe Jablonski","Grand Valley St.","Sr.","P","10","54.0","41"
"","Austin Leary","Stillman","Fr.","-","14","62.7","41"
"","Brodie Leibrandt","Columbus St.","So.","P","11","62.7","41"
"","Lamar Lewis","Benedict","Jr.","P","12","53.0","41"
"","Sean Marsiglia","St. Thomas Aquinas","Sr.","P","10","49.7","41"
"","Zach McAllister","Erskine","Fr.","P","11","56.7","41"
"","Avery McAlpine","Paine","Jr.","P","13","60.7","41"
"","Chad McLin","West Tex. A&M","Sr.","P","22","37.7","41"
"","Chris Pascual","Hawaii Hilo","So.","P","12","37.7","41"
"","Richard Raraigh","Seton Hill","Sr.","P","8","44.7","41"
"","Cale Rice","Okla. Panhandle","Sr.","P","15","71.0","41"
"","Shawn Riesgraf","St. Cloud St.","So.","P","10","40.0","41"
