year	division_id	school_id	school_name	school_url
2013	1	westernnevadacollege	Western Nevada College	http://stats.njcaa.org/sports/bsb/teams/westernnevadacollege?view=lineup
2013	1	westerntexascollege	Western Texas College	http://stats.njcaa.org/sports/bsb/teams/westerntexascollege?view=lineup
2013	1	whartoncountyjuniorcollege	Wharton County Junior College	http://stats.njcaa.org/sports/bsb/teams/whartoncountyjuniorcollege?view=lineup
2013	1	yavapaicollege	Yavapai College	http://stats.njcaa.org/sports/bsb/teams/yavapaicollege?view=lineup
2013	2	alleganycollegeofmaryland	Allegany College of Maryland	http://stats.njcaa.org/sports/bsb/teams/alleganycollegeofmaryland?view=lineup
2013	2	ancillacollege	Ancilla College	http://stats.njcaa.org/sports/bsb/teams/ancillacollege?view=lineup
2013	2	annearundelcommunitycollege	Anne Arundel Community College	http://stats.njcaa.org/sports/bsb/teams/annearundelcommunitycollege?view=lineup
2013	2	bismarckstatecollege	Bismarck State College	http://stats.njcaa.org/sports/bsb/teams/bismarckstatecollege?view=lineup
2013	2	blackhawkcollegemoline	Black Hawk College-Moline	http://stats.njcaa.org/sports/bsb/teams/blackhawkcollegemoline?view=lineup
2013	2	brownmackiecollege	Brown Mackie College	http://stats.njcaa.org/sports/bsb/teams/brownmackiecollege?view=lineup
2013	2	brunswickcommunitycollege	Brunswick Community College	http://stats.njcaa.org/sports/bsb/teams/brunswickcommunitycollege?view=lineup
2013	2	burlingtoncountycollege	Burlington County College	http://stats.njcaa.org/sports/bsb/teams/burlingtoncountycollege?view=lineup
2013	2	ccbccatonsville	CCBC Catonsville	http://stats.njcaa.org/sports/bsb/teams/ccbccatonsville?view=lineup
2013	2	ccbcdundalk	CCBC Dundalk	http://stats.njcaa.org/sports/bsb/teams/ccbcdundalk?view=lineup
2013	2	ccbcessex	CCBC Essex	http://stats.njcaa.org/sports/bsb/teams/ccbcessex?view=lineup
2013	2	carlalbertstatecollege	Carl Albert State College	http://stats.njcaa.org/sports/bsb/teams/carlalbertstatecollege?view=lineup
2013	2	carlsandburgcollege	Carl Sandburg College	http://stats.njcaa.org/sports/bsb/teams/carlsandburgcollege?view=lineup
2013	2	catawbavalleycommunitycollege	Catawba Valley Community College	http://stats.njcaa.org/sports/bsb/teams/catawbavalleycommunitycollege?view=lineup
2013	2	cecilcollege	Cecil College	http://stats.njcaa.org/sports/bsb/teams/cecilcollege?view=lineup
2013	2	chandlergilbertcommunitycollege	Chandler-Gilbert Community College	http://stats.njcaa.org/sports/bsb/teams/chandlergilbertcommunitycollege?view=lineup
2013	2	coahomacommunitycollege	Coahoma Community College	http://stats.njcaa.org/sports/bsb/teams/coahomacommunitycollege?view=lineup
2013	2	collegeoflakecounty	College of Lake County	http://stats.njcaa.org/sports/bsb/teams/collegeoflakecounty?view=lineup
2013	2	collegeofsouthernmaryland	College of Southern Maryland	http://stats.njcaa.org/sports/bsb/teams/collegeofsouthernmaryland?view=lineup
2013	2	collegeofthealbemarle	College of The Albemarle	http://stats.njcaa.org/sports/bsb/teams/collegeofthealbemarle?view=lineup
