year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	tc	po	a	e	fpct	dp	sba	rcs	rcs_percent	pb	ci
2013	1	asacollege	16	renebarrientosoj5m	Rene Barrientos	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/renebarrientosoj5m	Fr	Pitcher	2	0	0	0	0							
2013	1	asacollege	32	rolmancandelariozbgj	Rolman Candelario	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/rolmancandelariozbgj	So	Pitcher	2	0	0	0	0							
2013	1	asacollege	31	emmanuelcastro0mnh	Emmanuel Castro	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/emmanuelcastro0mnh	Fr	Pitcher	5	3	0	3	0	1.000						
2013	1	asacollege	42	stevecuello324s	Steve Cuello	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/stevecuello324s	Fr	IF	2	1	0	0	1	.000						
2013	1	asacollege	22	josephfernandez9um1	Joseph Fernandez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josephfernandez9um1	So	Pitcher	5	2	0	1	1	.500						
2013	1	asacollege	19	eduardohiraldodq7f	Eduardo Hiraldo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/eduardohiraldodq7f	So	Pitcher	1	0	0	0	0							
2013	1	asacollege	91	gilbertomendozat5la	Gilberto Mendoza	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/gilbertomendozat5la	So	IF	2	1	0	1	0	1.000						
2013	1	asacollege	55	josereynosovm4k	Jose Reynoso	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/josereynosovm4k	Fr	Pitcher	3	0	0	0	0							
2013	1	asacollege	20	hendryrodriguez3bzh	Hendry Rodriguez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/hendryrodriguez3bzh	Fr	Pitcher	2	0	0	0	0							
2013	1	asacollege	30	carlostejedaef27	Carlos Tejeda	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/carlostejedaef27	So	Pitcher	4	2	0	2	0	1.000		1				
2013	3	brookhavencollege	12	alexanderandersonx169	Alexander Anderson	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/alexanderandersonx169	So	1B/OF	32	9	9	0	0	1.000	0	0	0		0	0
2013	3	brookhavencollege	31	cordperea8f8j	Cord Perea	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/cordperea8f8j	Fr	C/1B	18	7	6	1	0	1.000	0	0	1	1.000	0	0
2013	3	brookhavencollege	17	jasonnicholson71t4	Jason Nicholson	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/jasonnicholson71t4	Fr	C	14	4	4	0	0	1.000	0	5	0	.000	1	0
2013	3	brookhavencollege	24	kalebwardenf3ld	Kaleb Warden	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/kalebwardenf3ld	Fr	1B/C	23	4	4	0	0	1.000	0	0	0		0	0
2013	3	brookhavencollege	2	byronbrookshud3	Byron Brooks	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/byronbrookshud3	Fr	2B	32	8	1	6	1	.875	0	0	0		0	0
2013	3	brookhavencollege	25	lancebrooksc2mj	Lance Brooks	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/lancebrooksc2mj	Fr	INF	13	1	1	0	0	1.000	0	0	0		0	0
