FIRST ROUND (x-compensation pick)
1. Arizona, Dansby Swanson, SS, Vanderbilt.
901. Milwaukee, Charlie Donovan, SS, Westmont HS, Clarendon Hills, Ill.
902. Toronto, Earl Burl III, CF, Alcorn St.
903. N.Y. Yankees, Chad Martin, RHP, Delaware.
904. Cleveland, Chandler Day, RHP, Watkins Memorial HS, Westerville, Ohio.
905. Seattle, Augustus Craig, RF, Columbia.
906. San Francisco, Tucker Forbes, RHP, UCLA.
907. Pittsburgh, Mike Wallace, RHP, Fairfield.
908. Oakland, Brendan Butler, RHP, Dowling.
909. Kansas City, Luke Willis, OF, George Mason.
910. Detroit, Cole McKay, RHP, Smithson Valley HS, Spring Branch, Texas.
911. St. Louis, Matt Vierling, OF, Christian Brothers College HS, St. Louis.
912. L.A. Dodgers, Logan Crouse, RHP, Bloomingdale Senior HS, Valrico, Fla.
913. Baltimore, Andrew Elliot, RHP, Wright St.
914. Washington, Jorge Pantoja, RHP, Alabama St.
915. L.A. Angels, Nick Lynch, 1B, UC Davis.
31ST ROUND
916. Arizona, Vance Vizcaino, 3B, Stetson.
917. Colorado, Hector Moreta, RHP, Calusa Preparatory School, Miami.
918. Texas, Jamie Potts, OF, Grand Valley St.
919. Houston, Keach Ballard, SS, Oklahoma Baptist.
920. Minnesota, Tristan Pompey, LF, Jean Vanier Catholic SS, Milton, Ontario.
921. Boston, Nick Duron, RHP, Clark CC.
922. Chicago White Sox, David Walker, 2B, Grand Canyon.
923. Chicago Cubs, Daniel Spingola, OF, Georgia Tech.
924. Philadelphia, Nick Fanti, LHP, Hauppauge (NY) HS.
925. Cincinnati, Ethan Skender, 2B, Metamora (Ill.) Township.
926. Miami, Griffin Conine, RF, Pine Crest School, Fort Lauderdale, Fla.
927. San Diego, Andres Gracia, RHP, Samford.
928. Tampa Bay, Timothy Ingram, RHP, Old Westbury.
929. N.Y. Mets, Tanner Dodson, RHP, Jesuit HS, Elk Grove, Calif.
930. Atlanta, Matt Custred, RHP, Texas Tech.
931. Milwaukee, Colton Cross, RHP, Shorter.
932. Toronto, Josh Degraaf, RHP, Taylor.
933. N.Y. Yankees, Hobie Harris, RHP, Pittsburgh.
934. Cleveland, Dillon Persinger, 2B, Golden West College.
935. Seattle, Logan James, LHP, Stanford.
936. San Francisco, Ryan Howard, SS, Missouri.
937. Pittsburgh, Riley Smith, RHP, San Jacinto College.
938. Oakland, John Gorman, RHP, Boston College.
939. Kansas City, Brian Bien, SS, Bowling Green.
940. Detroit, Blaise Salter, 1B, Michigan St.
941. St. Louis, Aaron Coates, LHP, Glasgow HS, Newark, Del.
942. L.A. Dodgers, Corey Copping, RHP, Oklahoma.
943. Baltimore, Will Shepley, LHP, UNC Wilmington.
944. Washington, Nick Sprengel, LHP, El Dorado HS, Placentia, Calif.
945. L.A. Angels, Izaak Silva, C, UC Davis.
32ND ROUND
946. Arizona, Bryan Hoeing, RHP, Batesville (Ind.) HS.
947. Colorado, Jensen Park, CF, Northern Colorado.
948. Texas, John Werner, RHP, St. Catharine.
949. Houston, Aaron Mizell, OF, Georgia Southern.
950. Minnesota, Andrew Vasquez, LHP, Westmont College.
951. Boston, Clate Schmidt, RHP, Clemson.
952. Chicago White Sox, Taylore Cherry, RHP, North Carolina.
953. Chicago Cubs, Fitz Stadler, RHP, Glenbrook South HS, Glenview, Ill.
954. Philadelphia, Reggie Wilson, CF, Oklahoma City U.
955. Cincinnati, Will McAffer, RHP, Sentinel SS, North Vancouver, B.C.
956. Miami, Kris Goodman, 3B, Iowa.
957. San Diego, Louis Distasio, RHP, Rhode Island.
958. Tampa Bay, Ty Jackson, RHP, Lewis-Clark St.
959. N.Y. Mets, Dustin Beggs, RHP, Kentucky.
960. Atlanta, DJ Neal, RF, Stephenson HS, Lithonia, Ga.
961. Milwaukee, Sean Chandler, RHP, Papillion Lavista HS, Bellevue, Neb.
962. Toronto, Andrew Guillotte, 2B, McNeese St.
963. N.Y. Yankees, Alexander Robinett, RHP, Army.
964. Cleveland, Jacob Hill, LHP, San Diego.
965. Seattle, Colin Tornberg, RHP, Texas-Arlington.
966. San Francisco, Jeff Burke, RHP, Boston College.
967. Pittsburgh, Cole Irvin, LHP, Oregon.
968. Oakland, Michael Murray, RHP, Florida Gulf Coast.
969. Kansas City, Jake Kalish, LHP, George Mason.
970. Detroit, Trey Dawson, SS, Hurricane (W.Va.) HS.
971. St. Louis, Thomas Spitz, CF, Wingate.
972. L.A. Dodgers, Nick Dean, SS, Maryville College.
973. Baltimore, Cody Morris, RHP, Reservoir HS, Laurel, Md.
974. Washington, Dalton DiNatale, 3B, Arizona St.
975. L.A. Angels, Conor Lillis-White, LHP, U. of British Columbia.
33RD ROUND
976. Arizona, Luis Silverio, CF, Eastern Florida State.
977. Colorado, Wyatt Cross, C, Legacy HS, Broomfield, Colo.
978. Texas, C.D. Pelham, LHP, Spartanburg Methodist.
979. Houston, Kolbey Carpenter, 2B, Oklahoma.
980. Minnesota, Colin Theroux, C, San Joaquin Delta College
981. Boston, Cal Smith, 2B, Fort Worth Christian School, Roanoke, Texas.
982. Chicago White Sox, Johnathan Frebis, LHP, Middle Tennessee.
983. Chicago Cubs, M.T. Minacci, RHP, No School, Tallahassee,Fla.
984. Philadelphia, Jacob Stevens, RHP, Choate Rosemary Hall, Darien, Conn.
985. Cincinnati, Tyler Peyton, RHP, Iowa.
986. Miami, Ryley MacEachern, RHP, Stony Brook.
987. San Diego, Braxton Lorenzini, RHP, West Hills College.
988. Tampa Bay, Collin Chapman, RHP, Lamar.
989. N.Y. Mets, Brendan Illies, C, Puyallup (Wash.) HS.
990. Atlanta, Terry Godwin, CF, Callaway HS, Hogansville, Ga.
991. Milwaukee, Connor Baits, RHP, UC Santa Barbara.
992. Toronto, Kalik May, OF, MVSU.
993. N.Y. Yankees, Christian Morris, RHP, Indiana.
994. Cleveland, Garrett Wolforth, C, Concordia Lutheran HS, Spring, Texas.
995. Seattle, Kenneth Gaines, SS, FIU.
996. San Francisco, Rafael Ramirez, RHP, Calusa Preparatory School, Miami.
997. Pittsburgh, Sean Keselica, LHP, Virginia Tech.
998. Oakland, Mike Martin, CF, Harvard.
999. Kansas City, Nathan Esposito, C, Concordia (Ore.)
1000. Detroit, Nick Dalesandro, C, Joliet Catholic Academy, Plainfield, Ill.
1001. St. Louis, Chandler Hawkins, LHP, Arkansas St.
1002. L.A. Dodgers, Adam Bray, RHP, South Dakota St.
1003. Baltimore, Steven Klimek, RHP, St. Bonaventure.
1004. Washington, Angelo La Bruna, SS, Southern Cal.
1005. L.A. Angels, Winston Lavendier, LHP, Cal St. Dominguez Hills.
34TH ROUND
1006. Arizona, Jake Peevyhouse, LF, Arizona St.
1007. Colorado, Michael Benson, C, Rancho Buena Vista (Calif.) HS.
1008. Texas, Joeanthony Rivera, LHP, Barry.
1009. Houston, Conor Biggio, OF, Notre Dame.
1010. Minnesota, Brian Olson, C, Seattle.
1011. Boston, Nick Lovullo, SS, Holy Cross.
1012. Chicago White Sox, Drew Hasler, RHP, Valparaiso.
1013. Chicago Cubs, Cody Hawken, OF, Union HS, Vancouver, Wash.
1014. Philadelphia, Ben Pelletier, OF, Ecole Secondaire De Montagne, Varennes, Quebec.
1015. Cincinnati, Connor Bennett, RHP, Buford (Ga.) HS.
1016. Miami, Brandon Rawe, RF, Morehead St.
1017. San Diego, Ty France, 3B, San Diego St.
1018. Tampa Bay, Ryan Caldwell, CF, Ezell Harding Christian School, Brentwood, Tenn.
1019. N.Y. Mets, L.T. Tolbert, RHP, IMG Academy, Piedmont, S.C.
1020. Atlanta, Carter Hall, SS, Wesleyan HS, Alpharetta, Ga.
1021. Milwaukee, Tristan Beck, RHP, Corona (Calif.) Senior HS.
1022. Toronto, Hunter Barnett, LHP, Mount Olive.
1023. N.Y. Yankees, Andrew Miller, LHP, Sterling HS, Stratford, N.J.
1024. Cleveland, Andrew Cabezas, RHP, Mater Academy Charter School, Hialeah Gardens, Fla.
1025. Seattle, Kyle Ostrowski, LHP, Lincoln Way North HS, Tinley Park, Ill.
1026. San Francisco, Travis Moniot, SS, Palm Desert HS, Indio, Calif.
1027. Pittsburgh, Brenden Spillane, 3B, Wheeling (Ill.) HS.
1028. Oakland, Shane Conlon, 1B, Kansas St.
1029. Kansas City, Taylor Ostrich, 1B, Old Dominion.
1030. Detroit, Andrew McWilliam, RF, San Diego Mesa College.
1031. St. Louis, Parker Kelly, RHP, Westview HS, Portland, Ore.
1032. L.A. Dodgers, Luis Rodriguez, RHP, Calusa Preparatory School, Miami.
1033. Baltimore, Kory Groves, RHP, Cal St. Monterey Bay.
1034. Washington, Tyler Watson, LHP, Perry HS, Gilbert, Ariz.
1035. L.A. Angels, Nicholas Flair, 3B, Tampa.
35TH ROUND
1036. Arizona, Quinnton Mack, CF, New Mexico St.
1037. Colorado, Ryan Madden, RHP, Fairview HS, Westminister, Colo.
1038. Texas, Isaiah Carranza, RHP, Damien HS, La Verne, Calif.
1039. Houston, Kody Clemens, SS, Memorial HS, Houston.
1040. Minnesota, Hector Lujan, RHP, Westmont College.
1041. Boston, Tyler Spoon, OF, Arkansas.
1042. Chicago White Sox, DJ King, SS, Hillsborough CC.
1043. Chicago Cubs, Taylor Jones, 1B, Gonzaga.
1044. Philadelphia, Andrew Amaro, OF, Tampa.
1045. Cincinnati, Alex Krupa, CF, Iowa Western CC.
1046. Miami, Cameron Newell, LF, UC Santa Barbara.
1047. San Diego, Nathan Foriest, LHP, Middle Tennessee.
1048. Tampa Bay, Blake Butera, 2B, Boston College.
1049. N.Y. Mets, George Thanopoulos, RHP, Columbia.
1050. Atlanta, Chase Smartt, C, Charles Henderson HS, Troy, Ala.
1051. Milwaukee, Quintin Torres-Costa, LHP, Hawaii.
1052. Toronto, Stuart Holmes, LHP, Nicholls St.
1053. N.Y. Yankees, Alex Bisacca, RHP, Sam Houston St.
1054. Cleveland, Cade Tremie, C, New Waverly (Texas) HS.
1055. Seattle, Gianni Zayas, RHP, FIU.
1056. San Francisco, Drew Jackson, RHP, FAU.
1057. Pittsburgh, Jordan George, 1B, Arkansas St.
1058. Oakland, Tim Proudfoot, SS, Texas Tech.
1059. Kansas City, Trey Stover, SS, Hartford.
1060. Detroit, Connor Lungwitz, RHP, Maize HS,Wichita, Kan.
1061. St. Louis, Luke Harrison, RHP, Indiana.
1062. L.A. Dodgers, Gage Green, C, Oklahoma St.
1063. Baltimore, Guillermo Trujillo, RHP, Oral Roberts.
1064. Washington, Coco Montes, SS, Coral Gables (Fla.) HS.
1065. L.A. Angels, Jordan Serena, CF, Columbia.
36TH ROUND
1066. Arizona, Cameron Smith, LHP, Texas Tech U
1067. Colorado, Andy Pagnozzi, RHP, Fayetteville (Ark.) Senior HS.
1068. Texas, DJ Peters, OF, Western Nevada CC.
1069. Houston, Ryan Deemes, RHP, Nicholls St.
1070. Minnesota, Rich Condeelis, RHP, Pittsburgh.
1071. Boston, Trevor Kelley, RHP, North Carolina.
1072. Chicago White Sox, Michael Hickman, C, Seven Lakes HS, Katy, Texas.
1073. Chicago Cubs, Al Jones, SS, Columbus (Ga.) HS.
1074. Philadelphia, Gabe Gonzalez, RHP, Southern Nevada.
1075. Cincinnati, Mitchell Tripp, RHP, UCF.
1076. Miami, Gunnar Kines, LHP, Mount Olive.
1077. San Diego, Alex Webb, RHP, U. British Columbia.
1078. Tampa Bay, Bryan Bonnell, RHP, UNLV.
1079. N.Y. Mets, Anthony Gordon, RF, Terra Nova HS, Pacifica, Calif.
1080. Atlanta, Luis Lopez, 2B, Colegio Catolico Notre Dame HS, Caguas, Puerto Rico.
1081. Milwaukee, Jordan Desguin, RHP, Florida Gulf Coast.
1082. Toronto, Lance Jones, CF, Southern A&M.
1083. N.Y. Yankees, Dustin Cook, RHP, Oklahoma City.
1084. Cleveland, Ryan Colegate, RHP, Ohio Dominican.
1085. Seattle, Matt Walker, RHP, Weatherford.
1086. San Francisco, Brendon Little, LHP, Conestoga HS, Malvern, Pa.
1087. Pittsburgh, James Marvel, RHP, Duke.
1088. Oakland, Troy Rallings, RHP, Washington.
1089. Kansas City, Tanner Stanley, OF, Richmond.
1090. Detroit, Daniel Pinero, 3B, Virginia.
1091. St. Louis, Dylan Tice, 2B, West Chester.
1092. L.A. Dodgers, Drayton Riekenberg, RHP, Fresno CC.
1093. Baltimore, Xavier Borde, LHP, Arizona.
1094. Washington, Taylor Bush, SS, The Linfield School, Temecula, Calif.
1095. L.A. Angels, Sam McDonnell, LF, Navarro College.
37TH ROUND
1096. Arizona, Max Brown, CF, Kansas St.
1097. Colorado, Marc Mumper, SS, Mountain Vista HS, Highlands Ranch, Colo.
1098. Texas, Billy Layne Jr., RHP, Old Bridge HS, Cliffwood Beach, N.J.
1099. Houston, Luken Baker, RHP, Oak Ridge HS, Spring, Texas.
1100. Minnesota, Jake Irvin, RHP, Bloomington (Minn.) Jefferson HS.
1101. Boston, Adam Lau, RHP, UAB.
1102. Chicago White Sox, Garvin Alston, LHP, Mountain Pointe HS, Phoenix.
1103. Chicago Cubs, Donnie Cimino, OF, Wesleyan (Conn.)
1104. Philadelphia, Malcolm Grady, RHP, Homewood (Ill.) Flossmoor HS.
1105. Cincinnati, Riley Thompson, RHP, Christian Academy-Louisville (Ky.)
1106. Miami, Ruben Cardenas, CF, Bishop Alemany HS, Saugus, Calif.
1107. San Diego, Blake Rogers, RHP, Oklahoma.
1108. Tampa Bay, Kewby Meyer, OF, Nevada.
1109. N.Y. Mets, Geoff Hartlieb, RHP, Lindenwood (Mo.)
1110. Atlanta, Jackson Webb, SS, Johnson Ferry Christian Academy, Roswell, Ga.
1111. Milwaukee, Brandon Gonzalez, CF, Cypress College.
1112. Toronto, Randy Labaut, LHP, Downey (Calif.) HS.
1113. N.Y. Yankees, Matthew Schmidt, 3B, Regis Jesuit HS, Parker, Colo.
1114. Cleveland, Lucas Humpal, RHP, Texas St.
1115. Seattle, Colton Sakamoto, CF, Westview HS, Beaverton, Ore.
1116. San Francisco, Mark Weist, 3B, Michigan St.
1117. Pittsburgh, Eli White, SS, Clemson.
1118. Oakland, Andy Cox, LHP, Tennessee.
1119. Kansas City, Jacob Ruder, RHP, Nixa (Mo.) HS.
1120. Detroit, Andrew Naderer, LHP, Grand Canyon.
1121. St. Louis, Stephen Zavala, C, Whittier College.
1122. L.A. Dodgers, Casey Mulholland, RHP, South Florida.
1123. Baltimore, Jake Pries, LF, Junipero Serra HS, San Juan Capistrano, Calif.
1124. Washington, Steven DiPuglia, SS, Cooper City (Fla.) HS.
1125. L.A. Angels, Thomas Delph, CF, Florida St.
38TH ROUND
1126. Arizona, Josh Anderson, 3B, FIU.
1127. Colorado, Jake Singer, 2B, Torrey Pines (Calif.) HS.
1128. Texas, Dean Long, 3B, Emporia St.
1129. Houston, Nick Rivera, 1B, Florida Gulf Coast.
1130. Minnesota, Alex McKenna, CF, Bishop Alemany HS, Canyon Country, Calif.
1131. Boston, CJ Ballard, CF, Pike County HS, Zebulon, Ga.
1132. Chicago White Sox, Cody Staab, CF, College Station (Texas) HS.
1133. Chicago Cubs, Rayne Supple, RHP, Champlain Valley HS, Shelburne, Vt.
1134. Philadelphia, Beau Brundage, SS, Mill Creek HS, Buford, Ga.
1135. Cincinnati, Matt Kroon, 3B, Horizon HS, Scottsdale, Ariz.
1136. Miami, C.J. Newsome, CF, Columbia (Miss.) HS.
1137. San Diego, Dean Kremer, RHP, San Joaquin Delta College.
1138. Tampa Bay, Steven Sensley, 1B, LSU-Eunice.
1139. N.Y. Mets, Jacob Wyrick, LHP, Cleveland State CC.
1140. Atlanta, Liam Scafariello, 1B, Southington HS, Plantsville, Conn.
1141. Milwaukee, Scott Grist, RHP, Texas St.
1142. Toronto, Josh Reavis, C, Radford.
1143. N.Y. Yankees, Mike Garzillo, 2B, Lehigh.
1144. Cleveland, Braden Webb, RHP, Owasso (Okla.) HS.
1145. Seattle, Dalton Kelly, 1B, UC Santa Barbara.
1146. San Francisco, Nathaniel Pecota, LF, Blue Springs South HS, Lee's Summit, Mo.
1147. Pittsburgh, Conor Costello, RHP, Oklahoma St.
1148. Oakland, Chris Cullen, C, West Forsyth HS, Cumming, Ga.
1149. Kansas City, Dylan Horne, LHP, Walters State CC.
1150. Detroit, Bryant Harris, CF, Luella HS, Hampton, Ga.
1151. St. Louis, Orlando Olivera, OF, Missouri Baptist College.
1152. L.A. Dodgers, Edwin Drexler, CF, Grambling St.
1153. Baltimore, Jack Graham, 2B, Slippery Rock.
1154. Washington, Matt Morales, SS, Wellington (Fla.) Community HS.
1155. L.A. Angels, Jonah Dipoto, RHP, Newport Harbor (Calif.) HS.
39TH ROUND
1156. Arizona, Georgie Salem, OF, Alabama.
1157. Colorado, Brent Schwarz, RHP, Regis Jesuit HS, Aurora, Colo.
1158. Texas, Shae Murray, RHP, Ohio St.
1159. Houston, Alex Vargas, RHP, Monroe College.
1160. Minnesota, Daniel Tilo, LHP, Sioux City (Iowa) North HS.
1161. Boston, Daniel Reyes, OF, Mater Academy Charter School, Miami Springs, Fla.
1162. Chicago White Sox, Jalin McMillan, 3B, Simeon Career Academy, Chicago.
1163. Chicago Cubs, John Kilichowski, LHP, Vanderbilt.
1164. Philadelphia, Griffin Morandini, CF, Garnet Valley HS, Glen Mills, Pa.
1165. Cincinnati, Kevin Santiago, SS, Rafaelina E. Lebron, Patillas, Puerto Rico.
1166. Miami, Bucket Goldby, 3B, Yuba City (Calif.) HS.
1167. San Diego, Adam Hill, RHP, T L Hanna HS, Anderson, S.C.
1168. Tampa Bay, Tyler Rand, CF, Langham Creek HS, Houston.
1169. N.Y. Mets, Chad Luensmann, RHP, Bellwood Antis HS, Altoona, Pa.
1170. Atlanta, Jeremy Pena, SS, Classical HS, Providence, R.I.
1171. Milwaukee, Nolan Kingham, RHP, Desert Oasis HS, Las Vegas.
1172. Toronto, Mattingly Romanin, IF, Chicago St.
1173. N.Y. Yankees, Deacon Liput, SS, Oviedo (Fla.) HS.
1174. Cleveland, Tristin English, RHP, Pike County HS, Williamson, Ga.
1175. Seattle, Dante Ricciardi, SS, Worcester Academy, North Boylston, Mass.
1176. San Francisco, Hunter Bowling, LHP, American Heritage School, Lake Worth, Fla.
1177. Pittsburgh, Tate Scioneaux, RHP, Southeastern Louisiana.
1178. Oakland, Gregory Fettes, C, Kentucky.
1179. Kansas City, Billy Endris, OF, FAU.
1180. Detroit, Travis Howard, RHP, Marana HS,Tucson, Ariz.
1181. St. Louis, R.J. Dennard, 1B, Armstrong St.
1182. L.A. Dodgers, Christopher Powell, RHP, Cal Poly Pomona.
1183. Baltimore, Frank Crinella, UTL, Merrimack.
1184. Washington, Jake Jefferies, 2B, Cal St. Fullerton.
1185. L.A. Angels, Jared Walsh, 1B, Georgia.
40TH ROUND
1186. Arizona, Tucker Ward, RHP, Mobile.
1187. Colorado, Alexander Carter, 1B, Georgetown.
1188. Texas, London Lindley, CF, Georgia Perimeter College.
1189. Houston, Steve Naemark, LHP, Angelo St.
1190. Minnesota, Max Cordy, RHP, UC Davis.
1191. Boston, DJ Artis, CF, Southeast Guilford HS, Greensboro, N.C.
1192. Chicago White Sox, Joseph Reinsdorf, 2B, New Trier HS, Glencoe, Ill.
1193. Chicago Cubs, Domenic DeRenzo, C, Central Catholic HS, Pittsburgh.
1194. Philadelphia, Thomas McCarthy, 3B, Allentown HS, Allentown, N.J.
1195. Cincinnati, Jonathon Arrowood, 1B, St. Edward's.
1196. Miami, Matthew Foley, C, Rhode Island College.
1197. San Diego, Trevor Larnach, RF, College Park HS, Concord, Calif.
1198. Tampa Bay, Kahiau Winchester, LF, Iolani HS, Ewa, Hawaii.
1199. N.Y. Mets, Nick Conti, 2B, Dr Phillips HS, Orlando, Fla.
1200. Atlanta, John Stewart, 3B, Greenwich Central HS, Granville, N.Y.
1201. Milwaukee, Charles Galiano, C, Fordham.
1202. Toronto, Robert Lucido, C, Amherst College.
1203. N.Y. Yankees, Will Albertson, C, Catawba.
1204. Cleveland, Hunter Parsons, RHP, Parkside HS, Fruitland, Md.
1205. Seattle, Mike Rojas, C, Gulf Coast HS, Naples, Fla.
1206. San Francisco, Roger Edwards, CF, Gulf Coast CC.
1207. Pittsburgh, Daniel Zamora, LHP, Stony Brook.
1208. Oakland, Nick Maton, SS, Glenwood HS, Chatham, Ill.
1209. Kansas City, Ford Proctor, C, Monsignor Kelly Catholic HS, Beaumont, Texas.
1210. Detroit, Jackson Kowar, RHP, Charlotte Christian School, Weddington, N.C.
1211. St. Louis, Joseph Hawkins, SS, Missouri St.
1212. L.A. Dodgers, Isaac Anderson, RHP, Wichita St.
1213. Baltimore, Michael Costello, RHP, Post (Conn.)
1214. Washington, Parker Quinn, 1B, The Benjamin School, Jupiter, Fla.
1215. L.A. Angels, Jacob McDavid, RHP, Oral Roberts.
