year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	2	Abilene Christian	14	1896883	Dyer, Doug	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1896883	Fr	P	3	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	8	1767865	Markwardt, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767865	So	OF	3	2	""	0.167	0.286	0.167	""	6	1	""	""	1	""	""	""	1	""	1	1	""	""	""	""	""
2017	12560	1	2	Abilene Christian	18	1884439	Hill, Bryce	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884439	Fr	P	1	1	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	5	1769403	Ready, Nic	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769403	So	INF	53	53	""	0.340	0.359	0.591	47	235	80	22	2	139	11	53	8	1	4	""	21	8	1	""	2	""
2017	12560	1	721	Air Force	21	1653231	Zabojnik, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653231	Jr	INF	53	53	""	0.366	0.433	0.595	52	232	85	23	3	138	8	47	23	5	1	""	48	11	""	""	4	""
2017	12560	1	721	Air Force	9	1769404	Dau, Rob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769404	So	C	53	53	""	0.236	0.329	0.368	29	182	43	9	""	67	5	34	23	4	4	9	59	8	2	""	""	""
2017	12560	1	721	Air Force	1	1527627	Groesbeck, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527627	Sr	OF	50	50	""	0.410	0.460	0.649	60	222	91	23	3	144	8	42	17	6	3	""	31	8	2	""	8	""
2017	12560	1	721	Air Force	3	1527639	Haslam, Bradley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527639	Sr	INF	49	49	""	0.380	0.440	0.620	63	213	81	19	1	132	10	51	21	4	3	""	24	7	1	""	5	""
2017	12560	1	721	Air Force	19	1769409	Wiss, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769409	So	OF	48	44	""	0.357	0.447	0.481	39	154	55	13	3	74	""	26	20	5	""	2	40	""	5	""	4	""
2017	12560	1	721	Air Force	17	1527634	Williams, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527634	Sr	INF	47	45	""	0.362	0.430	0.592	45	174	63	10	3	103	8	41	17	6	3	5	41	2	3	""	5	""
2017	12560	1	721	Air Force	2	1527628	Jones, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527628	Sr	OF	43	43	""	0.359	0.471	0.706	41	170	61	17	""	120	14	59	29	9	2	""	38	2	2	""	3	""
2017	12560	1	721	Air Force	23	1879033	Easley, Ashton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879033	Fr	OF	42	23	""	0.269	0.322	0.380	23	108	29	3	3	41	1	16	8	1	1	""	26	3	2	""	7	""
2017	12560	1	721	Air Force	12	1653232	Mize, Shaun	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653232	Sr	INF	37	31	""	0.336	0.444	0.437	19	119	40	3	""	52	3	18	19	5	1	3	15	4	""	""	""	""
2017	12560	1	721	Air Force	25	1653241	Robb, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653241	Jr	INF	32	16	""	0.254	0.357	0.305	17	59	15	3	""	18	""	9	5	5	1	2	8	1	3	""	1	""
2017	12560	1	721	Air Force	13	1769407	Jones, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769407	So	OF	30	14	""	0.369	0.446	0.815	25	65	24	6	1	53	7	16	6	3	""	""	15	1	2	""	2	""
2017	12560	1	721	Air Force	29	1653236	Holloway, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653236	Jr	P	24	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	45	1769416	Gilbert, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769416	So	P	24	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	14	1653242	Graham, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653242	Jr	OF	21	2	""	0.300	0.382	0.333	3	30	9	1	""	10	""	5	4	""	""	""	8	""	""	""	""	""
2017	12560	1	721	Air Force	42	1879039	Kelley, Shawn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879039	Fr	C	19	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	11	1769406	Nichols, Ethan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769406	So	P	18	11	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	31	1653237	Biancalana, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653237	Jr	P	18	9	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	24	1769410	Hargreaves, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769410	So	P	16	13	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	40	1769415	Mortenson, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769415	So	P	16	1	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	32	1879036	Floyd, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879036	Fr	P	16	8	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	16	1527633	DeVries, Jacob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1527633	Sr	P	14	11	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	10	1769405	Martinez, Gabe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769405	So	C	12	0	""	0.400	0.500	0.600	2	5	2	1	""	3	""	1	""	1	""	""	1	""	""	""	""	""
2017	12560	1	721	Air Force	22	1879032	Kincart, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879032	Jr	P	11	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""
