year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12560	1	721	Air Force	13	1769407	Jones, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769407	So	OF	30	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	29	1653236	Holloway, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653236	Jr	P	24	0	""	24	""	3.83	47.0	""	45	29	20	34	54	""	226	177	9	""	""	3	3	15	1	21	10	""	""	796	45	28	3	2	4	21
2017	12560	1	721	Air Force	45	1769416	Gilbert, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769416	So	P	24	0	""	24	""	9.55	27.1	""	39	33	29	24	21	""	144	114	7	2	1	6	6	4	""	20	12	2	""	556	31	21	1	2	""	8
2017	12560	1	721	Air Force	14	1653242	Graham, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653242	Jr	OF	21	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	721	Air Force	42	1879039	Kelley, Shawn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879039	Fr	C	19	0	""	19	""	4.82	18.2	""	22	12	10	10	8	""	93	76	10	""	""	1	1	4	""	24	8	1	2	307	23	23	""	2	1	2
2017	12560	1	721	Air Force	11	1769406	Nichols, Ethan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769406	So	P	18	11	""	18	11	7.86	60.2	""	94	61	53	16	43	""	296	270	22	1	1	7	5	3	1	6	1	2	5	960	81	53	5	3	""	7
2017	12560	1	721	Air Force	31	1653237	Biancalana, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653237	Jr	P	18	9	""	18	9	9.00	54.0	""	82	60	54	26	44	""	261	229	14	2	2	13	5	2	""	8	3	2	1	747	57	46	5	3	""	9
2017	12560	1	721	Air Force	24	1769410	Hargreaves, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769410	So	P	16	13	""	15	12	6.75	72.0	1	97	58	54	31	64	""	344	291	18	1	""	9	6	9	""	1	1	9	4	1223	85	53	4	5	""	13
2017	12560	1	721	Air Force	40	1769415	Mortenson, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769415	So	P	16	1	""	16	1	5.04	30.1	""	29	18	17	20	35	""	140	113	8	3	1	4	6	2	2	18	6	3	2	500	24	29	2	3	2	10
2017	12560	1	721	Air Force	32	1879036	Floyd, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879036	Fr	P	16	8	""	16	8	10.43	33.2	""	54	44	39	24	26	""	174	142	13	3	""	5	8	2	""	2	1	2	4	492	33	33	""	2	1	5
