year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_rhp	10581	3	Adelphi	10	1771381	Malm, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771381	So	SS	47	45		0.319	0.381	0.479	29	144	46	8		69	5	26	5	10	1		27	4	4		3	
2017	12560	2	vs_rhp	10581	3	Adelphi	9	1537995	Vani, Robert	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1537995	Sr	INF	47	43		0.280	0.400	0.390	27	118	33	7		46	2	14	21	4	2		27	1	1		5	
2017	12560	2	vs_rhp	10581	3	Adelphi	55	1771392	Morse, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771392	So	OF	46	41		0.305	0.384	0.458	10	118	36	7	1	54	3	22	12	5	3		16	1	1		5	
2017	12560	2	vs_rhp	10581	3	Adelphi	7	1537992	Stack, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1537992	Sr	INF	45	40		0.237	0.296	0.272	13	114	27	4		31		8	7	3	1	4	17	4	3		3	
2017	12560	2	vs_rhp	10581	3	Adelphi	2	1771379	Cattani, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771379	So	OF	40	35		0.242	0.315	0.305	11	95	23	3		29	1	14	6	5	2	1	15	4	3		6	
2017	12560	2	vs_rhp	10581	3	Adelphi	6	1653690	Cassara, Kory	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653690	Jr	C	38	30		0.268	0.322	0.366	13	82	22	3	1	30	1	6	5	2	1		9	1	2		1	
2017	12560	2	vs_rhp	10581	3	Adelphi	14	1537972	Levinson, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1537972	Sr	INF	35	35		0.260	0.352	0.312	12	77	20	4		24		8	8	3		5	8					
2017	12560	2	vs_rhp	10581	3	Adelphi	49	1771391	Columbo, Thomas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771391	So	1B	25	19		0.283	0.380	0.350	7	60	17	4		21		10	7	3	1	1	7					
2017	12560	2	vs_rhp	10581	3	Adelphi	41	1653705	Warshefskie, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1653705	Jr	C	23	10		0.226	0.278	0.258	3	31	7	1		8		9	1	2	2		5				1	
2017	12560	2	vs_rhp	10581	3	Adelphi	8	1771380	Iadevaia, Jonathon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1771380	So	OF	22	14		0.314	0.438	0.431	17	51	16	4	1	22		4	12		1	2	6	2	1		6	
2017	12560	2	vs_rhp	10581	3	Adelphi	23	1890343	Becker, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1890343	Fr	INF	20	5		0.200	0.300	0.440	8	25	5	2	2	11		3	4		1		11				4	
