 year | team_key |           s           |         n         
 2002 | WSN      |                   0.4 |               0.4
 1981 | ATL      |                     0 |                 0
 1967 | PHI      |                     0 |                 0
 1980 | TOR      |                     0 |                 0
 1978 | BOS      |                     0 |                 0
 1971 | OAK      |                     0 |                 0
 1983 | BAL      |                     0 |                 0
 1981 | HOU      |                     0 |                 0
 2009 | NYY      |                   4.3 |               4.2
 1968 | OAK      |                  -0.8 |              -0.9
 1973 | CLE      |                   0.1 |                 0
 1996 | SDP      |                     0 |              -0.1
 2005 | CHC      |                     0 |              -0.1
 2001 | WSN      |                  -0.3 |              -0.4
 2000 | ANA      |                  34.6 |              34.5
 1982 | KCR      |                  58.4 |              58.3
 1969 | PIT      |                  -0.2 |              -0.4
 1983 | SDP      |                   0.2 |                 0
 1980 | SDP      |                   0.3 |               0.1
 1992 | LAD      |                   0.2 |                 0
 1974 | BOS      |                   0.3 |                 0
 1993 | TEX      |                   0.3 |                 0
 1986 | BAL      |                   0.3 |                 0
 1965 | BAL      |                    -1 |              -1.3
 1980 | BAL      |                   0.4 |               0.1
 1975 | PHI      |                   3.7 |               3.3
 2007 | CLE      |                   0.1 |              -0.4
 2006 | BAL      |                   9.6 |               9.1
 2009 | NYM      |                   4.9 |               4.4
 1984 | PIT      |                   1.9 |               1.3
 1968 | MIL      |                   0.6 |                 0
 1965 | CHW      |                  -0.2 |              -0.8
 1976 | SFG      |                  -0.2 |              -0.8
 1996 | BOS      |                    18 |              17.4
 1979 | ANA      |                   0.7 |                 0
 1995 | ATL      |                   0.2 |              -0.5
 1979 | BOS      |                  -0.9 |              -1.6
 1993 | BAL      |                   1.9 |               1.2
 1972 | MIL      |                   0.7 |                 0
 1975 | MIN      |                   0.4 |              -0.3
 1971 | WSN      |                   3.5 |               2.7
 1974 | CLE      |                   0.8 |                 0
 1978 | HOU      |                   0.8 |                 0
 2000 | LAD      |                   1.7 |               0.8
 2005 | TEX      |                   0.7 |              -0.2
 1969 | ATL      |                   0.9 |                 0
 1996 | NYM      |                   1.4 |               0.5
 1971 | NYM      |                   0.9 |                 0
 1996 | SFG      |  8.32667268468867e-17 |              -0.9
 1998 | KCR      |                     1 |                 0
 1968 | STL      |                  25.7 |              24.7
 2006 | COL      |                   6.8 |               5.8
 1966 | BAL      |                     2 |               0.9
 2002 | TEX      |                   1.1 |                 0
 1991 | NYY      |                   1.5 |               0.4
 1977 | NYY      |                   3.6 |               2.5
 1970 | BOS      |                   1.1 |                 0
 2006 | HOU      |                   4.2 |               3.1
 1984 | BAL      | -5.55111512312578e-17 |              -1.1
 1970 | NYM      |                   1.1 |                 0
 1991 | OAK      |                   6.8 |               5.6
 1969 | ANA      |                     7 |               5.8
 1997 | TEX      |                   0.9 |              -0.3
 1997 | SDP      |                  -0.1 |              -1.3
 2004 | SFG      |                   1.2 |                 0
 2005 | HOU      |                   2.2 |                 1
 1965 | ATL      |                    17 |              15.6
 2008 | ANA      |                  11.6 |              10.2
 2006 | OAK      |                  17.2 |              15.6
 1980 | SFG      |                  -1.2 |              -2.9
 1997 | ATL      |                   1.5 |              -0.2
 2003 | SDP      |                   3.7 |                 2
 1968 | MIN      |                   1.7 |                 0
 1970 | CLE      |                   1.4 |              -0.4
 1990 | BOS      |                   1.3 |              -0.5
 1977 | HOU      |                   1.8 |                 0
 1992 | CIN      |                   1.5 |              -0.3
 1994 | ANA      |                   3.8 |                 2
 1982 | SEA      |                  32.1 |              30.2
 2009 | BAL      |                   3.9 |                 2
 2009 | TEX      |                     1 |              -0.9
 1985 | BAL      |                   1.1 |              -0.8
 1982 | MIL      |                   1.4 |              -0.5
 1999 | NYY      |                  -0.3 |              -2.3
 1969 | NYY      |                     0 |                -2
 1968 | CHW      |                     2 |                 0
 1993 | NYY      |                  -1.4 |              -3.5
 1994 | TOR      |                   2.1 |                 0
 1996 | DET      |                   2.1 |                 0
 2004 | SEA      |                     5 |               2.9
 1996 | TOR      |                    33 |              30.9
 1966 | DET      |                     2 |              -0.2
 2009 | BOS      |                   3.4 |               1.1
 1994 | PIT      |                   1.4 |              -0.9
 1973 | CHW      |                   2.2 |              -0.1
